Month of Observation,Median Home Price (NSA),Inflation Adjusted Price
1953-01-01,18080.26,201735.60
1953-02-01,18080.26,202496.87
1953-03-01,18080.26,201735.60
1953-04-01,18122.25,202204.11
1953-05-01,18143.25,201680.23
1953-06-01,18143.25,200927.69
1953-07-01,18185.25,201392.82
1953-08-01,18206.25,200875.85
1953-09-01,18227.25,201107.55
1953-10-01,18227.25,200362.71
1953-11-01,18206.25,200875.85
1953-12-01,18206.25,200875.85
1954-01-01,18206.25,200875.85
1954-02-01,18227.25,201107.55
1954-03-01,18227.25,201107.55
1954-04-01,18206.25,201625.39
1954-05-01,18206.25,200875.85
1954-06-01,18227.25,201107.55
1954-07-01,18290.25,201802.65
1954-08-01,18332.24,202265.94
1954-09-01,18374.24,18374.24
1954-10-01,18353.24,203253.23
1954-11-01,18353.24,203253.23
1954-12-01,18374.24,204247.91
1955-01-01,18395.24,204481.35
1955-02-01,18332.24,203781.04
1955-03-01,18290.25,203314.28
1955-04-01,18185.25,202147.10
1955-05-01,18185.25,202147.10
1955-06-01,18269.25,203080.85
1955-07-01,18332.24,203020.67
1955-08-01,18437.24,204183.49
1955-09-01,18479.24,203887.84
1955-10-01,18458.24,203656.14
1955-11-01,18416.24,203192.74
1955-12-01,18374.24,203485.80
1956-01-01,18332.24,203020.67
1956-02-01,18269.25,202323.08
1956-03-01,18206.25,201625.39
1956-04-01,18122.25,199949.05
1956-05-01,18143.25,199439.34
1956-06-01,18332.24,200035.07
1956-07-01,18479.24,200167.26
1956-08-01,18605.23,202270.20
1956-09-01,18584.23,201304.52
1956-10-01,18563.24,200345.96
1956-11-01,18521.24,199892.67
1956-12-01,18542.24,199394.25
1957-01-01,18605.23,200071.61
1957-02-01,18773.23,201149.40
1957-03-01,18773.23,200425.84
1957-04-01,18899.22,201047.73
1957-05-01,18962.22,200997.50
1957-06-01,18899.22,199616.79
1957-07-01,18899.22,198206.07
1957-08-01,18899.22,198206.07
1957-09-01,18962.22,198866.78
1957-10-01,19067.21,199967.87
1957-11-01,19067.21,199263.76
1957-12-01,19046.22,199044.40
1958-01-01,19067.21,197870.31
1958-02-01,19067.21,197870.31
1958-03-01,19235.21,198227.52
1958-04-01,19277.21,197972.94
1958-05-01,19319.20,198404.17
1958-06-01,19214.21,197325.95
1958-07-01,19214.21,196645.51
1958-08-01,19193.21,197110.28
1958-09-01,19130.21,196463.29
1958-10-01,19109.21,196247.62
1958-11-01,19151.21,196000.75
1958-12-01,19172.21,196894.62
1959-01-01,19130.21,195785.83
1959-02-01,19109.21,196247.62
1959-03-01,19109.21,196247.62
1959-04-01,19109.21,195570.90
1959-05-01,19193.21,196430.59
1959-06-01,19193.21,195755.57
1959-07-01,19130.21,194444.83
1959-08-01,19109.21,194231.38
1959-09-01,19151.21,193993.91
1959-10-01,19256.21,194394.06
1959-11-01,19277.21,194606.06
1959-12-01,19193.21,193758.07
1960-01-01,19256.21,195057.52
1960-02-01,19256.21,194394.06
1960-03-01,19256.21,194394.06
1960-04-01,19256.21,193735.10
1960-05-01,19214.21,193312.54
1960-06-01,19172.21,192238.32
1960-07-01,19172.21,192238.32
1960-08-01,19256.21,193080.59
1960-09-01,19340.20,193922.75
1960-10-01,19403.20,193248.71
1960-11-01,19340.20,192621.25
1960-12-01,19340.20,192621.25
1961-01-01,19340.20,192621.25
1961-02-01,19298.20,192202.95
1961-03-01,19340.20,192621.25
1961-04-01,19256.21,191784.74
1961-05-01,19319.20,192412.10
1961-06-01,19298.20,192202.95
1961-07-01,19361.20,191544.87
1961-08-01,19382.20,192393.94
1961-09-01,19382.20,191752.63
1961-10-01,19382.20,191752.63
1961-11-01,19487.20,192791.42
1961-12-01,19529.20,193206.93
1962-01-01,19550.19,193414.59
1962-02-01,19508.20,192357.98
1962-03-01,19508.20,192357.98
1962-04-01,19508.20,191721.03
1962-05-01,19613.19,192752.85
1962-06-01,19634.19,192959.23
1962-07-01,19634.19,192322.40
1962-08-01,19634.19,192322.40
1962-09-01,19613.19,191484.74
1962-10-01,19571.19,191074.69
1962-11-01,19592.19,191279.71
1962-12-01,19592.19,191279.71
1963-01-01,19613.19,191484.74
1963-02-01,19613.19,191484.74
1963-03-01,19718.19,191878.68
1963-04-01,19802.18,192695.99
1963-05-01,19760.19,192287.38
1963-06-01,19760.19,191658.99
1963-07-01,19802.18,191440.64
1963-08-01,19802.18,191440.64
1963-09-01,19802.18,191440.64
1963-10-01,19802.18,190819.08
1963-11-01,19928.18,192033.25
1963-12-01,20012.18,192218.61
1964-01-01,20012.18,192218.61
1964-02-01,20075.17,192823.63
1964-03-01,20075.17,192823.63
1964-04-01,20012.18,192218.61
1964-05-01,19928.18,191411.78
1964-06-01,19991.18,191397.49
1964-07-01,20033.17,191182.79
1964-08-01,20096.17,192402.68
1964-09-01,20159.17,192385.25
1964-10-01,20201.17,192786.07
1964-11-01,20264.17,192767.46
1964-12-01,20264.17,192767.46
1965-01-01,20390.16,193965.97
1965-02-01,20390.16,193965.97
1965-03-01,20327.16,192748.89
1965-04-01,20285.16,191738.05
1965-05-01,20264.17,191539.65
1965-06-01,20264.17,190327.37
1965-07-01,20306.16,190721.75
1965-08-01,20306.16,190721.75
1965-09-01,20306.16,190721.75
1965-10-01,20432.16,191299.80
1965-11-01,20537.15,192282.79
1965-12-01,20600.15,192266.12
