Date,Open,High,Low,Close
1/1/2018,24809.35,26616.71,24741.70,26149.39
2/1/2018,26083.04,26306.70,23360.29,25029.20
3/1/2018,25024.04,25449.15,23509.06,24103.11
4/1/2018,24076.60,24858.97,23344.52,24163.15
5/1/2018,24117.29,25086.49,23531.31,24415.84
6/1/2018,24542.09,25402.83,23997.21,24271.41
7/1/2018,24161.53,25587.24,24077.56,25415.19
8/1/2018,25461.63,26167.94,24965.77,25964.82
9/1/2018,25916.07,26769.16,25754.32,26458.31
10/1/2018,26598.36,26951.81,24122.23,25115.76
11/1/2018,25142.08,26277.82,24268.74,25538.46
12/1/2018,25779.57,25980.21,21712.53,23327.46
1/1/2019,23058.61,25109.62,22638.41,24999.67
2/1/2019,25025.31,26241.42,24883.04,25916.00
3/1/2019,26019.67,26155.98,25208.00,25928.68
04/01/2019,26075.10,26695.96,26062.59,26592.91
05/01/2019,26639.06,26689.39,24809.51,24815.04
06/01/2019,24830.16,26907.37,24680.57,26599.96
07/01/2019,26805.86,27398.68,26616.21,26864.27
08/01/2019,26879.86,27175.59,25339.60,26403.28
09/01/2019,26198.26,27306.73,25978.22,26916.83
10/01/2019,26962.54,27204.36,25743.46,27046.23
11/1/2019,27142.95,28174.97,27142.95,28051.41
12/1/2019,28109.74,28701.66,27325.13,28538.44
01/01/2020,28638.97,29373.62,28169.53,28256.03
02/01/2020,28319.65,29568.57,24681.01,25409.36
3/1/2020,25590.51,27102.34,18213.65,21917.16
4/1/2020,21227.38,24764.77,20735.02,24345.72
5/1/2020,24120.78,25758.79,22789.62,25383.11
6/1/2020,25342.99,27580.21,24843.18,25812.88
7/1/2020,25879.38,27071.33,25523.51,26428.32
8/1/2020,26542.32,28733.35,26534.38,28430.05
9/1/2020,28439.61,29199.35,26537.01,27781.70
10/1/2020,27940.63,28957.90,26143.77,26501.60
11/1/2020,26691.28,30116.51,26691.28,29638.64
12/1/2020,29797.50,30637.47,29599.29,30606.48
